Section,Key,Name,Threshold,Operator,Unit,Description
BASIC_CHECKS,cn0_top4,Avg CN0 Top 4 Per Epoch,40.0,>=,dBHz,Average CN0 of the top 4 signals per epoch
BASIC_CHECKS,max_epoch_gap,Max Time Between Epochs,2000.0,<=,ms,Maximum gap between consecutive measurement epochs
BASIC_CHECKS,avg_gps_l1,Avg Valid Per Epoch (GPS_L1),7.5,>=,signals/epoch,Average number of valid GPS L1 signals per epoch
BASIC_CHECKS,avg_gps_l5,Avg Valid Per Epoch (GPS_L5),3.5,>=,signals/epoch,Average number of valid GPS L5 signals per epoch
BASIC_CHECKS,avg_glo_g1,Avg Valid Per Epoch (GLO_G1),4.0,>=,signals/epoch,Average number of valid GLONASS G1 signals per epoch
BASIC_CHECKS,avg_gal_e1,Avg Valid Per Epoch (GAL_E1),5.0,>=,signals/epoch,Average number of valid Galileo E1 signals per epoch
BASIC_CHECKS,avg_gal_e5a,Avg Valid Per Epoch (GAL_E5A),4.5,>=,signals/epoch,Average number of valid Galileo E5A signals per epoch
BASIC_CHECKS,avg_gal_e5b,Avg Valid Per Epoch (GAL_E5B),4.5,>=,signals/epoch,Average number of valid Galileo E5B signals per epoch
BASIC_CHECKS,avg_bds_b1i,Avg Valid Per Epoch (BDS_B1I),5.0,>=,signals/epoch,Average number of valid BeiDou B1I signals per epoch
BASIC_CHECKS,avg_bds_b2a,Avg Valid Per Epoch (BDS_B2A),4.0,>=,signals/epoch,Average number of valid BeiDou B2A signals per epoch
BASIC_CHECKS,avg_bds_b1c,Avg Valid Per Epoch (BDS_B1C),4.0,>=,signals/epoch,Average number of valid BeiDou B1C signals per epoch
BASIC_CHECKS,req_sig_types,Required Sig Types,1.0,>=,of each required type,"Each required signal type (GPS L1+L5, GAL E1+E5A+E5B, BDS B1I+B2A+B1C, GLO G1) must average >= 1 per epoch. PASS if missing_types list is empty."
BASIC_CHECKS,usable_pct,Measurement State Usable,85.0,>=,%,Percentage of raw measurements with STATE_TOW_DECODED or STATE_TOW_KNOWN set
BASIC_CHECKS,dup_signals,Duplicate Signals,0,==,count,Number of duplicate (same SVid + frequency) signals in a single epoch
